Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam,IMO

CANCUN,-,-,,17.4 m,At anchor,2 hours ago,9587269 / 636022530,5LJG3,Liberia,300 / 50 m,9587269
NEGONEGO,,,,18.6 m,-,8 days ago,9587245 / 229269000,9HA3188,Malta,300 / 50 m,9587245
RANGIROA,,,,18.5 m,-,10 days ago,9634713 / 636022528,5LJF9,Liberia,300 / 50 m,9634713
FAKARAVA,,,,18.5 m,-,5 days ago,9634701 / 256848000,9HA2944,Malta,300 / 50 m,9634701
CAPE MIDORI,,,,18.5 m,-,4 days ago,9531868 / 373615000,3FAN3,Panama,300 / 50 m,9531868
CHINA STEEL SUCCESS,,,,8.6 m,-,2 days ago,9737814 / 352001989,SSD,Panama,300 / 50 m,9737814
CHINA STEEL ENDEAVOR,-,-,,8.9 m,At anchor,1 min ago,9702558 / 352001884,3E3698,Panama,300 / 50 m,9702558
C.S EXPLORATION,,,,10.8 m,-,28 hours ago,9702560 / 370359000,3FMW7,Panama,299 / 50 m,9702560
AEGEAN CLOVER,-,-,33.6° / 0.0 kn,21.7 m,-,7 days ago,9670066 / 431398000,7JXV,Japan,299 / 50 m,9670066
CELEBES CLOVER,-,-,287.8° / 0.5 kn,9.0 m,At anchor,2 min ago,9503225 / 431832000,7KMP,Japan,300 / 50 m,9503225
CAPE VERDE,,,,9.0 m,-,6 days ago,9670054 / 563640000,9V2304,Singapore,300 / 50 m,9670054
CAPE GREEN,-,-,,9.2 m,-,13 days ago,9651072 / 351950000,3FLR3,Panama,300 / 50 m,9651072
CHINA STEEL VISION,-,-,,9.0 m,-,4 days ago,9737826 / 354810000,3ERG6,Panama,299 / 50 m,9737826
FPMC B NATURE,,,,8.6 m,-,2 days ago,9723162 / 636016836,D5IA6,Liberia,299 / 50 m,9723162
FPMC B MAJESTY,-,-,,7.7 m,-,35 days ago,9723150 / 636016835,D5IA5,Liberia,299 / 50 m,9723150
DAMPIER MARU,-,-,,18.3 m,-,15 days ago,9479254 / 373421000,3FCV7,Panama,300 / 50 m,9479254
TSUKUBA MARU,,,,8.7 m,-,6 days ago,9524035 / 352300000,3FUJ4,Panama,299 / 50 m,9524035
MARTHA OLDENDORFF,,,,9.6 m,Under way,2 hours ago,9678812 / 636016114,D5EN2,Liberia,300 / 50 m,9678812
MAGNUS OLDENDORFF,-,-,358.2° / 0.1 kn,18.5 m,At anchor,3 min ago,9648893 / 636016211,D5FA4,Liberia,300 / 50 m,9648893
MINERAL CLOUDBREAK,,,,18.4 m,-,2 days ago,9558713 / 477211600,VRLA6,Hong Kong,300 / 50 m,9558713
HARVEST VENTURE,,,352.9° / 10.6 kn,18.4 m,-,5 days ago,9528196 / 636024631,5LTN6,Liberia,300 / 50 m,9528196
TALISKER,,,,18.5 m,-,22 hours ago,9528201 / 636024328,5LSB6,Liberia,300 / 50 m,9528201
CSC PREEMINENCE,,,,8.8 m,-,3 days ago,9861782 / 416054000,BHFV,Taiwan,300 / 50 m,9861782
CSC CREATOR,-,-,,8.8 m,-,2 days ago,9861770 / 416050000,BHCN,Taiwan,299 / 50 m,9861770
CSC VICTOR,-,-,,5.2 m,-,40 days ago,9860063 / 416051000,BHCQ,Taiwan,299 / 50 m,9860063
CSC LEADER,-,-,,9.1 m,At anchor,1 hour ago,9861768 / 352898760,3E2045,Panama,300 / 50 m,9861768
JAWA SATU,-,-,,10.6 m,Moored,1 min ago,9854935 / 525101662,YDDP2,Indonesia,293 / 43 m,9854935
CHINA FORTUNE,-,-,,18.5 m,-,9 days ago,9648257 / 566765000,9V9740,Singapore,300 / 50 m,9648257
MAGDALENA OLDENDORFF,-,-,259° / 0.0 kn,18.4 m,Moored,48 min ago,9638044 / 636015916,D5DM5,Liberia,300 / 50 m,9638044
WINNING BRIGHT,,,,18.8 m,-,5 days ago,9492218 / 563223200,9V9533,Singapore,300 / 50 m,9492218
WINNING JOY,,,,9.8 m,-,3 days ago,9492220 / 563222500,9V9678,Singapore,300 / 50 m,9492220
MAY OLDENDORFF,-,-,,9.2 m,-,8 days ago,9638056 / 636016113,D5EM9,Liberia,300 / 50 m,9638056
CHINA PIONEER,-,-,,8.2 m,-,8 days ago,9588768 / 477598100,VRKJ4,Hong Kong,300 / 50 m,9588768
LAN MAY,,,,17.8 m,-,5 days ago,9410167 / 636014631,A8VM7,Liberia,300 / 50 m,9410167
CAPE STARS,-,-,,18.6 m,-,14 hours ago,9631321 / 563162000,9V2006,Singapore,300 / 50 m,9631321
CAPE NEPTUNE,-,-,,18.7 m,-,9 days ago,9593074 / 566856000,9V9972,Singapore,300 / 50 m,9593074
MINA OLDENDORFF,-,-,,12.6 m,-,14 hours ago,9678795 / 636016034,D5EB9,Liberia,300 / 50 m,9678795
MATHILDE OLDENDORFF,-,-,,18.6 m,-,8 days ago,9678800 / 636016212,D5FA5,Liberia,300 / 50 m,9678800
